<name4> = <val5>	<name4> に <val5> を代入
math . frexp ( <name6> )	<name6> の仮数と指数
math . frexp ( <name6> )	<name6> の仮数と指数を確認する
math . frexp ( <name1> )	<name1> の仮数と指数を計算する
math . isclose ( <name6> , <name1> )	<name6> と <name1> が近いかどうか
math . isclose ( <name3> , <name4> )	<name3> と <name4> が近いかどうかをチェックする
math . isclose ( <name6> , <name2> )	<name6> と <name2> が近いかどうかを計算する
if math . isclose ( <name2> , <name5> ) :	<name2> と <name5> が近いならば
math . isclose ( <name5> , <name1> )	<name5> と <name1> が近似値かどうか
math . isclose ( <name5> , <name3> )	<name5> と <name3> が近似値かどうかを調べる
math . isclose ( <name2> , <name3> )	<name2> と <name3> が近似値かどうかを算出する
if math . isclose ( <name2> , <name6> ) :	<name2> と <name6> が近似値のとき
math . isfinite ( <name5> )	<name5> が有限かどうか
math . isfinite ( <name5> )	<name5> が有限かどうかを表示する
math . isfinite ( <name6> )	<name6> が有限かどうかを算出する
if math . isfinite ( <name6> ) :	もし <name6> が有限なら
math . isinf ( <name4> )	<name4> が無限大かどうか
math . isinf ( <name2> )	<name2> が無限大かどうかをチェックする
math . isinf ( <name5> )	<name5> が無限大かどうかを求める
if math . isinf ( <name4> ) :	<name4> が無限大なら
math . isnan ( <name2> )	<name2> が NaN かどうか
math . isnan ( <name4> )	<name4> が NaN かどうかを調べる
math . isnan ( <name4> )	<name4> が NaN かどうかを算出する
if math . isnan ( <name1> ) :	<name1> が NaN のとき
math . modf ( <name3> )	<name3> の小数部と整数部
math . modf ( <name1> )	<name1> の小数部と整数部を表示する
math . modf ( <name5> )	<name5> の小数部と整数部を計算する
math . perm ( <name3> )	<name3> の順列の総数
math . perm ( <name3> )	<name3> の順列の総数をチェックする
math . perm ( <name4> )	<name4> の順列の総数を計算する
<name1> = math . perm ( <name6> )	<name6> の順列の総数を <name1> とする
math . perm ( <name2> , <name4> )	<name2> から <name4> 個取り出した時の順列の総数
math . perm ( <name3> , <name6> )	<name3> から <name6> 個取り出した時の順列の総数を表示する
math . perm ( <name4> , <name6> )	<name4> から <name6> 個取り出した時の順列の総数を計算する
<name6> = math . perm ( <name1> , <name4> )	<name1> から <name4> 個取り出した時の順列の総数を <name6> に代入する
math . prod ( <name4> )	<name4> の要素積
math . prod ( <name5> )	リスト <name5> の要素積
math . prod ( <name5> )	<name5> リストの要素積
math . prod ( <name2> )	<name2> の要素積を表示する
math . prod ( <name4> )	<name4> リストの要素積を調べる
math . prod ( <name2> )	リスト <name2> の要素積を確認する
math . prod ( <name5> )	<name5> の要素積を計算する
math . prod ( <name6> )	<name6> リストの要素積を計算する
math . prod ( <name1> )	リスト <name1> の要素積を算出する
<name6> = math . prod ( <name5> )	<name5> の要素積を <name6> にする
<name6> = math . prod ( <name1> )	リスト <name1> の要素積を <name6> に代入する
<name2> = math . prod ( <name5> )	<name5> リストの要素積を <name2> にする
math . remainder ( <name1> , <name5> )	<name1> を <name5> で割った剰余
math . remainder ( <name6> , <name5> )	<name6> を <name5> でわったあまり
math . remainder ( <name6> , <name4> )	<name6> を <name4> で割った剰余を見る
math . remainder ( <name1> , <name2> )	<name1> を <name2> でわったあまりを表示する
math . remainder ( <name3> , <name1> )	<name3> を <name1> で割った剰余を計算する
math . remainder ( <name1> , <name5> )	<name1> を <name5> でわったあまりを計算する
<name1> = math . remainder ( <name3> , <name6> )	<name3> を <name6> で割った剰余を <name1> にする
<name3> = math . remainder ( <name2> , <name6> )	<name2> を <name6> でわったあまりを <name3> にする
math . exp ( <name4> )	e の <name4> 乗
math . exp ( <name4> )	e の <name4> 乗を見る
math . exp ( <name3> )	e の <name3> 乗を算出する
<name2> = math . exp ( <name3> )	e の <name3> 乗を <name2> とする
math . log ( <name2> )	<name2> の自然対数
math . log ( <name1> )	<name1> の自然対数をチェックする
math . log ( <name5> )	<name5> の自然対数を算出する
<name2> = math . log ( <name3> )	<name3> の自然対数を <name2> とする
math . log ( <name6> , <name4> )	<name4> を底とする <name6> の対数
math . log ( <name4> , <name6> )	<name6> を底と直す <name4> の対数
math . log ( <name3> , <name1> )	<name1> を底とする <name3> の対数を確認する
math . log ( <name6> , <name2> )	<name2> を底と直す <name6> の対数を見る
math . log ( <name5> , <name6> )	<name6> を底とする <name5> の対数を計算する
math . log ( <name2> , <name1> )	<name1> を底と直す <name2> の対数を求める
<name2> = math . log ( <name5> , <name6> )	<name6> を底とする <name5> の対数を <name2> にする
<name1> = math . log ( <name5> , <name2> )	<name2> を底と直す <name5> の対数を <name1> とする
math . log ( <name5> , <name1> )	<name1> に対する <name5> の対数
math . log ( <name1> , <name2> )	<name2> に対する <name1> の対数を見る
math . log ( <name1> , <name3> )	<name3> に対する <name1> の対数を計算する
<name6> = math . log ( <name2> , <name1> )	<name1> に対する <name2> の対数を <name6> に代入する
math . log1p ( <name4> )	1 + <name4> の自然対数
math . log1p ( <name1> )	1 + <name1> の自然対数を調べる
math . log1p ( <name1> )	1 + <name1> の自然対数を計算する
<name6> = math . log1p ( <name2> )	1 + <name2> の自然対数を <name6> とする
math . log2 ( <name3> )	2 を底とする <name3> の対数
math . log2 ( <name2> )	2 を底と直す <name2> の対数
math . log2 ( <name5> )	2 を底とする <name5> の対数を確認する
math . log2 ( <name1> )	2 を底と直す <name1> の対数を確認する
math . log2 ( <name2> )	2 を底とする <name2> の対数を計算する
math . log2 ( <name5> )	2 を底と直す <name5> の対数を求める
<name2> = math . log2 ( <name3> )	2 を底とする <name3> の対数を <name2> に代入する
<name2> = math . log2 ( <name6> )	2 を底と直す <name6> の対数を <name2> とする
math . log10 ( <name4> )	<name4> の常用対数
math . log10 ( <name2> )	<name2> の常用対数を表示する
math . log10 ( <name3> )	<name3> の常用対数を計算する
<name1> = math . log10 ( <name3> )	<name3> の常用対数を <name1> に代入する
math . log10 ( <name6> )	<name6> の 10 を底とする対数
math . log10 ( <name4> )	<name4> の 10 を底と直す対数
math . log10 ( <name3> )	<name3> の 10 を底とする対数を調べる
math . log10 ( <name2> )	<name2> の 10 を底と直す対数をチェックする
math . log10 ( <name4> )	<name4> の 10 を底とする対数を算出する
math . log10 ( <name6> )	<name6> の 10 を底と直す対数を算出する
<name2> = math . log10 ( <name6> )	<name6> の 10 を底とする対数を <name2> に代入する
<name5> = math . log10 ( <name3> )	<name3> の 10 を底と直す対数を <name5> に代入する
math . cos ( <name4> )	<name4> の余弦
math . cos ( <name5> )	<name5> の余弦を見る
math . cos ( <name5> )	<name5> の余弦を算出する
<name4> = math . cos ( <name5> )	<name5> の余弦を <name4> にする
math . cos ( <name2> )	<name2> のコサイン
math . cos ( <name6> )	<name6> のコサインを調べる
math . cos ( <name6> )	<name6> のコサインを計算する
<name1> = math . cos ( <name6> )	<name6> のコサインを <name1> とする
math . sin ( <name3> )	<name3> の正弦
math . sin ( <name5> )	<name5> の正弦を表示する
math . sin ( <name5> )	<name5> の正弦を算出する
<name1> = math . sin ( <name3> )	<name3> の正弦を <name1> に代入する
math . sin ( <name5> )	<name5> のサイン
math . sin ( <name3> )	<name3> のサインをチェックする
math . sin ( <name4> )	<name4> のサインを計算する
<name6> = math . sin ( <name1> )	<name1> のサインを <name6> とする
math . tan ( <name3> )	<name3> の正接
math . tan ( <name6> )	<name6> の正接をチェックする
math . tan ( <name6> )	<name6> の正接を計算する
<name4> = math . tan ( <name6> )	<name6> の正接を <name4> に代入する
math . tan ( <name4> )	<name4> のタンジェント
math . tan ( <name5> )	<name5> のタンジェントを確認する
math . tan ( <name5> )	<name5> のタンジェントを求める
<name3> = math . tan ( <name6> )	<name6> のタンジェントを <name3> にする
math . acos ( <name1> )	<name1> の逆余弦
math . acos ( <name6> )	<name6> の逆余弦を確認する
math . acos ( <name4> )	<name4> の逆余弦を求める
<name5> = math . acos ( <name1> )	<name1> の逆余弦を <name5> にする
math . acos ( <name3> )	<name3> のアークコサイン
math . acos ( <name6> )	<name6> のアークコサインをチェックする
math . acos ( <name3> )	<name3> のアークコサインを算出する
<name3> = math . acos ( <name5> )	<name5> のアークコサインを <name3> に代入する
math . asin ( <name3> )	<name3> の逆正弦
math . asin ( <name4> )	<name4> の逆正弦をチェックする
math . asin ( <name2> )	<name2> の逆正弦を計算する
<name1> = math . asin ( <name3> )	<name3> の逆正弦を <name1> とする
math . asin ( <name1> )	<name1> のアークサイン
math . asin ( <name1> )	<name1> のアークサインを見る
math . asin ( <name4> )	<name4> のアークサインを計算する
<name3> = math . asin ( <name5> )	<name5> のアークサインを <name3> にする
math . atan ( <name3> )	<name3> の逆正接
math . atan ( <name4> )	<name4> の逆正接を表示する
math . atan ( <name4> )	<name4> の逆正接を求める
<name6> = math . atan ( <name3> )	<name3> の逆正接を <name6> にする
math . atan ( <name2> )	<name2> のアークタンジェント
math . atan ( <name3> )	<name3> のアークタンジェントを見る
math . atan ( <name6> )	<name6> のアークタンジェントを計算する
<name4> = math . atan ( <name2> )	<name2> のアークタンジェントを <name4> とする
math . degrees ( <name2> )	<name2> の角度
math . degrees ( <name6> )	<name6> の角度を確認する
math . degrees ( <name6> )	<name6> の角度を算出する
<name5> = math . degrees ( <name4> )	<name4> の角度を <name5> に代入する
math . radians ( <name2> )	<name2> のラジアン
math . radians ( <name2> )	<name2> のラジアンを見る
math . radians ( <name4> )	<name4> のラジアンを計算する
<name3> = math . radians ( <name2> )	<name2> のラジアンを <name3> とする
math . acosh ( <name6> )	<name6> の逆双曲線余弦
math . acosh ( <name1> )	<name1> の逆双曲線余弦を表示する
math . acosh ( <name3> )	<name3> の逆双曲線余弦を算出する
<name6> = math . acosh ( <name3> )	<name3> の逆双曲線余弦を <name6> にする
math . asinh ( <name2> )	<name2> の逆双曲線正弦
math . asinh ( <name4> )	<name4> の逆双曲線正弦をチェックする
math . asinh ( <name4> )	<name4> の逆双曲線正弦を算出する
<name6> = math . asinh ( <name3> )	<name3> の逆双曲線正弦を <name6> にする
math . atanh ( <name6> )	<name6> の逆双曲線正接
math . atanh ( <name5> )	<name5> の逆双曲線正接を見る
math . atanh ( <name5> )	<name5> の逆双曲線正接を算出する
<name3> = math . atanh ( <name4> )	<name4> の逆双曲線正接を <name3> とする
math . cosh ( <name3> )	<name3> の双曲線余弦
math . cosh ( <name5> )	<name5> の双曲線余弦を調べる
math . cosh ( <name6> )	<name6> の双曲線余弦を算出する
<name4> = math . cosh ( <name1> )	<name1> の双曲線余弦を <name4> にする
math . sinh ( <name1> )	<name1> の双曲線正弦
math . sinh ( <name6> )	<name6> の双曲線正弦を調べる
math . sinh ( <name5> )	<name5> の双曲線正弦を算出する
<name6> = math . sinh ( <name5> )	<name5> の双曲線正弦を <name6> にする
math . tanh ( <name3> )	<name3> の双曲線正接
math . tanh ( <name5> )	<name5> の双曲線正接を調べる
math . tanh ( <name2> )	<name2> の双曲線正接を算出する
<name6> = math . tanh ( <name4> )	<name4> の双曲線正接を <name6> とする
math . dist ( <name1> , <name6> )	<name1> と <name6> のユークリッド距離
math . dist ( <name6> , <name2> )	<name6> と <name2> のユークリッド距離を確認する
math . dist ( <name4> , <name1> )	<name4> と <name1> のユークリッド距離を求める
<name5> = math . dist ( <name6> , <name1> )	<name6> と <name1> のユークリッド距離を <name5> に代入する
math . hypot ( <name1> , <name6> )	<name1> と <name6> のノルム
math . hypot ( <name2> , <name5> )	<name2> と <name5> のノルムを表示する
math . hypot ( <name3> , <name1> )	<name3> と <name1> のノルムを求める
<name1> = math . hypot ( <name4> , <name2> )	<name4> と <name2> のノルムを <name1> とする
math . hypot ( <name4> , <name6> )	原点からの ( <name4> , <name6> ) の距離
math . hypot ( <name6> , <name3> )	原点からの ( <name6> , <name3> ) の距離を表示する
math . hypot ( <name6> , <name4> )	原点からの ( <name6> , <name4> ) の距離を算出する
<name1> = math . hypot ( <name4> , <name5> )	原点からの ( <name4> , <name5> ) の距離を <name1> に代入する
math . gamma ( <name3> )	<name3> のガンマ関数
math . gamma ( <name6> )	<name6> のガンマ関数を見る
math . gamma ( <name2> )	<name2> のガンマ関数を計算する
<name5> = math . gamma ( <name1> )	<name1> のガンマ関数を <name5> にする
math . lgamma ( <name4> )	<name4> のガンマ関数の絶対値の自然対数
math . lgamma ( <name1> )	<name1> のガンマ関数の絶対値の自然対数を確認する
math . lgamma ( <name1> )	<name1> のガンマ関数の絶対値の自然対数を求める
<name3> = math . lgamma ( <name5> )	<name5> のガンマ関数の絶対値の自然対数を <name3> とする
math . pi	円周率
math . pi	円周率を見る
math . pi	円周率を算出する
math . e	ネイピア数
math . e	ネイピア数をチェックする
math . e	ネイピア数を計算する
math . inf	無限大
math . inf	無限大を確認する
math . inf	無限大を求める
math . nan	NaN
math . nan	NaN を見る
math . nan	NaN を計算する
import <name1>	<name1> モジュールをインポートする
import <name1>	<name1> モジュールをインポート直す
import <name4>	<name4> モジュールを使う
import <name4>	<name4> モジュールを使用する
import <name6>	<name6> モジュールを用いる
copy . copy ( <name3> )	<name3> をコピーした結果
copy . deepcopy ( <name1> )	<name1> を深くコピーした結果
import <name3>	<name3> モジュールをインポートする
import <name6>	<name6> モジュールをインポート直す
bisect . bisect_left ( <name5> , <name4> )	ソートされた順序を保ったまま <name4> を <name5> に挿入できるインデックス
bisect . bisect_left ( <name3> , <name2> )	<name3> に並び順をそのままで <name2> を挿入できる場所
bisect . bisect_left ( <name4> , <name6> )	<name4> に並んでいる順序をそのままで <name6> を挿入できるインデックス
bisect . bisect_left ( <name4> , <name1> )	並んでいる順序をそのままで <name1> を <name4> に挿入できる場所
bisect . bisect_left ( <name6> , <name5> )	<name6> にソートされた順序を保ったまま <name5> を挿入できる位置
bisect . bisect_left ( <name1> , <name2> )	<name1> に並び順を保ったまま <name2> を挿入できるインデックス
bisect . bisect_left ( <name2> , <name4> )	並んでいる順序をそのままで <name4> を <name2> に挿入できるインデックス
bisect . bisect_left ( <name6> , <name3> )	ソートされた順序を保ったまま <name3> を <name6> に挿入できる位置
bisect . bisect_left ( <name5> , <name2> )	<name5> に並んでいる順序をそのままで <name2> を挿入できる場所
bisect . bisect_left ( <name4> , <name6> )	<name4> にソートされた順序を保ったまま <name6> を挿入できるインデックス
bisect . bisect_left ( <name4> , <name6> )	並び順をそのままで <name6> を <name4> に挿入できるインデックス
bisect . bisect_left ( <name6> , <name3> )	並び順を保ったまま <name3> を <name6> に挿入できる位置
bisect . bisect_left ( <name4> , <name3> )	並び順を保ったまま <name3> を <name4> に挿入できるインデックス
bisect . bisect_left ( <name1> , <name4> )	<name1> に並び順をそのままで <name4> を挿入できるインデックス
bisect . bisect_left ( <name3> , <name4> )	並び順をそのままで <name4> を <name3> に挿入できる場所
bisect . bisect_left ( <name5> , <name2> )	<name5> に並び順を保ったまま <name2> を挿入できる位置
bisect . bisect_right ( <name2> , <name5> )	ソートされた順序を保ったまま <name5> を <name2> に挿入できる最後の位置
bisect . bisect_right ( <name2> , <name5> )	ソートされた順序を保ったまま <name5> を <name2> に挿入できる最後のインデックス
bisect . bisect_right ( <name2> , <name1> )	並び順をそのままで <name1> を <name2> に挿入できる一番後ろの場所
bisect . bisect_right ( <name4> , <name1> )	並んでいる順序をそのままで <name1> を <name4> に挿入できる一番後ろの場所
bisect . bisect_right ( <name5> , <name3> )	<name5> に並んでいる順序をそのままで <name3> を挿入できる一番後ろの場所
bisect . bisect_right ( <name5> , <name1> )	<name5> に並び順を保ったまま <name1> を挿入できる右側の場所
bisect . bisect_right ( <name6> , <name2> )	ソートされた順序を保ったまま <name2> を <name6> に挿入できる最後の場所
bisect . bisect_right ( <name1> , <name3> )	<name1> にソートされた順序を保ったまま <name3> を挿入できる最後の場所
bisect . bisect_right ( <name6> , <name5> )	並び順を保ったまま <name5> を <name6> に挿入できる最後のインデックス
bisect . bisect_right ( <name5> , <name2> )	<name5> に並び順をそのままで <name2> を挿入できる一番後ろの場所
bisect . bisect_right ( <name4> , <name5> )	<name4> にソートされた順序を保ったまま <name5> を挿入できる最後のインデックス
bisect . bisect_right ( <name3> , <name2> )	並び順をそのままで <name2> を <name3> に挿入できる一番後ろのインデックス
bisect . bisect_right ( <name4> , <name1> )	並んでいる順序をそのままで <name1> を <name4> に挿入できる一番後ろのインデックス
bisect . bisect_right ( <name4> , <name2> )	<name4> に並んでいる順序をそのままで <name2> を挿入できる一番後ろのインデックス
bisect . bisect_right ( <name6> , <name2> )	ソートされた順序を保ったまま <name2> を <name6> に挿入できる右側の位置
bisect . bisect_right ( <name3> , <name1> )	<name3> にソートされた順序を保ったまま <name1> を挿入できる最後の位置
bisect . bisect_right ( <name5> , <name3> )	<name5> にソートされた順序を保ったまま <name3> を挿入できる右側の位置
bisect . bisect_right ( <name4> , <name5> )	ソートされた順序を保ったまま <name5> を <name4> に挿入できる右側の場所
bisect . bisect_right ( <name6> , <name5> )	並び順を保ったまま <name5> を <name6> に挿入できる最後の位置
bisect . bisect_right ( <name1> , <name4> )	<name1> に並び順を保ったまま <name4> を挿入できる最後の位置
bisect . bisect_right ( <name5> , <name2> )	<name5> に並び順をそのままで <name2> を挿入できる一番後ろのインデックス
bisect . bisect_right ( <name5> , <name3> )	並び順を保ったまま <name3> を <name5> に挿入できる右側の場所
bisect . bisect_right ( <name6> , <name5> )	並び順を保ったまま <name5> を <name6> に挿入できる右側の位置
bisect . bisect_right ( <name6> , <name3> )	ソートされた順序を保ったまま <name3> を <name6> に挿入できる終わりの位置
bisect . bisect_right ( <name1> , <name2> )	並び順を保ったまま <name2> を <name1> に挿入できる右側のインデックス
bisect . bisect_right ( <name5> , <name4> )	<name5> に並び順を保ったまま <name4> を挿入できる最後のインデックス
bisect . bisect_right ( <name1> , <name3> )	<name1> にソートされた順序を保ったまま <name3> を挿入できる終わりの場所
bisect . bisect_right ( <name6> , <name1> )	並び順を保ったまま <name1> を <name6> に挿入できる終わりのインデックス
bisect . bisect_right ( <name5> , <name6> )	並び順を保ったまま <name6> を <name5> に挿入できる終わりの位置
bisect . bisect_right ( <name2> , <name4> )	<name2> にソートされた順序を保ったまま <name4> を挿入できる右側のインデックス
bisect . bisect_right ( <name1> , <name4> )	ソートされた順序を保ったまま <name4> を <name1> に挿入できる右側のインデックス
bisect . bisect_right ( <name5> , <name2> )	ソートされた順序を保ったまま <name2> を <name5> に挿入できる終わりの場所
bisect . bisect_right ( <name6> , <name5> )	並び順を保ったまま <name5> を <name6> に挿入できる最後の場所
bisect . bisect_right ( <name6> , <name4> )	並び順を保ったまま <name4> を <name6> に挿入できる終わりの場所
bisect . insort_left ( <name4> , <name3> )	<name3> を <name4> にソート順で挿入する
bisect . insort_left ( <name1> , <name4> )	<name1> に <name4> をソート順で挿入する
bisect . insort_right ( <name1> , <name6> )	<name6> を <name1> にソート順で右側に挿入する
bisect . insort_right ( <name3> , <name6> )	<name3> に <name6> をソート順で一番後ろ挿入する
bisect . insort_right ( <name3> , <name1> )	<name3> に <name1> をソート順で右側に挿入する
bisect . insort_right ( <name1> , <name4> )	<name4> を <name1> にソート順で一番後ろ挿入する
bisect . insort_right ( <name2> , <name4> )	<name4> を <name2> にソート順で最後に挿入する
bisect . insort_right ( <name3> , <name1> )	<name3> に <name1> をソート順で最後に挿入する
bisect . insort_right ( <name1> , <name4> )	<name4> を <name1> にソート順で終わりに挿入する
bisect . insort_right ( <name2> , <name1> )	<name2> に <name1> をソート順で終わりに挿入する
import <name4>	<name4> モジュールをインポートする
import <name3>	<name3> モジュールをインポート直す
itertools . repeat ( <val3> )	<val3> の無限列
itertools . repeat ( <val1> , <val6> )	<val1> の <val6> 回続く列
itertools . count ( )	無限にカウントアップする整数列
itertools . count ( )	無限にカウントアップ直す整数列
itertools . count ( <val4> )	<val4> からカウントアップする無限の整数列
itertools . count ( <val1> )	<val1> からカウントアップ直す無限の整数列
itertools . count ( <val5> , <val4> )	<val5> から始まり <val4> 間隔でカウントアップする無限の整数列
itertools . count ( <val4> , <val5> )	<val4> から始まり <val5> 間隔でカウントアップ直す無限の整数列
itertools . cycle ( <name5> )	<name5> を無限に繰り返した列
itertools . cycle ( <name4> )	無限に <name4> リストを繰り返した列
itertools . cycle ( <name1> )	無限にリスト <name1> を繰り返した列
itertools . cycle ( <name6> )	<name6> リストを無限に繰り返した列
itertools . cycle ( <name2> )	無限に <name2> を繰り返した列
itertools . cycle ( <name2> )	リスト <name2> を無限に繰り返した列
itertools . product ( <name5> , <name4> )	<name5> と <name4> の直積
itertools . product ( <name4> , <name5> )	リスト <name4> とリスト <name5> の直積
itertools . product ( <name3> , <name2> )	<name3> リストと <name2> リストの直積
itertools . permutations ( <name5> )	<name5> の順列
itertools . permutations ( <name4> )	<name4> リストの順列
itertools . permutations ( <name2> )	リスト <name2> の順列
itertools . permutations ( <name3> , <val1> )	<name3> のうち <val1> 個までの順列
itertools . permutations ( <name6> , <val3> )	リスト <name6> のうち <val3> 個までの順列
itertools . permutations ( <name5> , <val1> )	<name5> リストのうち <val1> 個までの順列
itertools . combinations ( <name2> , <val4> )	<name2> のうち <val4> 個までの組み合わせ
itertools . combinations ( <name6> , <val2> )	リスト <name6> のうち <val2> 個までの組み合わせ
itertools . combinations ( <name1> , <val4> )	<name1> のうち <val4> 個までのコンビネーション
itertools . combinations ( <name6> , <val2> )	<name6> リストのうち <val2> 個までの組み合わせ
itertools . combinations ( <name5> , <val1> )	<name5> リストのうち <val1> 個までのコンビネーション
itertools . combinations ( <name1> , <val6> )	リスト <name1> のうち <val6> 個までのコンビネーション
itertools . combinations_with_replacement ( <name2> , <val3> )	<name2> のうち <val3> 個までの重複コンビネーション
itertools . combinations_with_replacement ( <name1> , <val2> )	<name1> リストのうち <val2> 個までの重複組み合わせ
itertools . combinations_with_replacement ( <name3> , <val6> )	<name3> のうち <val6> 個までの重複組み合わせ
itertools . combinations_with_replacement ( <name1> , <val4> )	リスト <name1> のうち <val4> 個までの重複組み合わせ
itertools . combinations_with_replacement ( <name3> , <val5> )	リスト <name3> のうち <val5> 個までの重複コンビネーション
itertools . combinations_with_replacement ( <name5> , <val6> )	<name5> リストのうち <val6> 個までの重複コンビネーション
import <name6>	<name6> モジュールを用いる
collections . deque ( )	deque オブジェクトを生成する
collections . deque ( )	deque オブジェクトを作成する
collections . deque ( )	deque オブジェクトを作る
<name6> = collections . deque ( )	deque オブジェクトを作って、 <name6> とする
<name5> = collections . deque ( )	deque オブジェクトを作られた結果を <name5> に代入する
<name1> = collections . deque ( )	deque オブジェクトを生成して、 <name1> にする
<name1> = collections . deque ( )	deque オブジェクトを生成した結果を <name1> とする
<name1> = collections . deque ( )	deque オブジェクトを作成して、 <name1> とする
<name4> = collections . deque ( )	deque オブジェクトを作成された結果を <name4> にする
collections . deque ( <name5> )	<name5> から deque オブジェクトを作る
collections . deque ( <name2> )	<name2> から deque オブジェクトを作成する
collections . deque ( <name5> )	<name5> から deque オブジェクトを生成する
<name3> = collections . deque ( <name1> )	<name1> から deque オブジェクトを生成し、 <name3> に代入する
<name2> = collections . deque ( <name6> )	<name6> から deque オブジェクトを生成された結果を <name2> にする
<name1> = collections . deque ( <name3> )	<name3> から deque オブジェクトを作って、 <name1> にする
<name6> = collections . deque ( <name5> )	<name5> から deque オブジェクトを作られた結果を <name6> とする
<name6> = collections . deque ( <name4> )	<name4> から deque オブジェクトを作成し、 <name6> とする
<name6> = collections . deque ( <name5> )	<name5> から deque オブジェクトを作成した結果を <name6> にする
maxlen = <val3>	<val3> を最大長として
maxlen = <val5>	最大長として <val5> を
<name1> . appendleft ( <val6> )	<name1> の最初に <val6> を追加する
<name4> . appendleft ( <val3> )	<name4> の先頭に <val3> を付加する
<name2> . appendleft ( <val6> )	<val6> を <name2> の先頭に追加する
<name2> . appendleft ( <val5> )	<val5> を <name2> の左側に加える
<name3> . appendleft ( <val1> )	<val1> を <name3> の先頭に付加する
<name2> . appendleft ( <val5> )	<val5> を <name2> の左側に入れる
<name6> . appendleft ( <val1> )	<name6> の最初に <val1> を入れる
<name6> . appendleft ( <val4> )	<name6> の先頭に <val4> を加える
<name4> . appendleft ( <val1> )	<val1> を <name4> の先頭に入れる
<name6> . appendleft ( <val5> )	<val5> を <name6> の最初に付加する
<name2> . appendleft ( <val5> )	<val5> を <name2> の最初に入れる
<name4> . appendleft ( <val3> )	<val3> を <name4> の最初に加える
<name5> . appendleft ( <val2> )	<name5> の最初に <val2> を付加する
<name2> . appendleft ( <val6> )	<name2> の先頭に <val6> を入れる
<name4> . appendleft ( <val5> )	<name4> の最初に <val5> を加える
<name5> . appendleft ( <val3> )	<val3> を <name5> の左側に追加する
<name5> . appendleft ( <val2> )	<name5> の左側に <val2> を追加する
<name2> . appendleft ( <val6> )	<val6> を <name2> の左側に付加する
<name4> . appendleft ( <val3> )	<name4> の先頭に <val3> を追加する
<name4> . appendleft ( <val6> )	<name4> の左側に <val6> を入れる
<name3> . appendleft ( <val6> )	<val6> を <name3> の先頭に加える
<name3> . appendleft ( <val6> )	<val6> を <name3> の最初に追加する
<name5> . appendleft ( <val2> )	<name5> の左側に <val2> を付加する
<name4> . appendleft ( <val6> )	<name4> の左側に <val6> を加える
<name3> . appendleft ( <val6> )	<name3> の最初を <val6> で拡張する
<name3> . appendleft ( <val5> )	<name3> の左側を <val5> で拡張する
<name2> . appendleft ( <val3> )	<val3> で <name2> の最初を拡張する
<name3> . appendleft ( <val6> )	<val6> で <name3> の先頭を拡張する
<name5> . appendleft ( <val2> )	<val2> で <name5> の左側を拡張する
<name1> . appendleft ( <val5> )	<name1> の先頭を <val5> で拡張する
<name6> . popleft ( )	<name6> の先頭から取り除いた値
<name5> . popleft ( )	<name5> の先頭から抜いた値
<name6> . popleft ( )	<name6> の先頭から除いた値
<name5> . popleft ( )	<name5> の最初から抜いた値
<name6> . popleft ( )	<name6> の先頭から除いたデータ
<name2> . popleft ( )	<name2> の左側から抜いた値
<name1> . popleft ( )	<name1> の最初から取り除いた値
<name4> . popleft ( )	<name4> の最初から除いたデータ
<name3> . popleft ( )	<name3> の最初から除いた値
<name1> . rotate ( )	<name1> の要素を右にひとつローテートする
<name1> . rotate ( )	右に <name1> の要素をひとつローテートする
<name2> . rotate ( )	<name2> の値を右にひとつローテート直す
<name6> . rotate ( )	右に <name6> の値をひとつローテート直す
<name4> . rotate ( )	右に <name4> の要素をひとつ回転する
<name2> . rotate ( )	<name2> の要素を右にひとつ回転する
<name1> . rotate ( )	右に <name1> の要素をひとつローテート直す
<name3> . rotate ( )	右に <name3> の値をひとつローテートする
<name5> . rotate ( )	右に <name5> の値をひとつ回転する
<name1> . rotate ( )	<name1> の値を右にひとつ回転する
<name5> . rotate ( )	<name5> の値を右にひとつローテートする
<name5> . rotate ( )	<name5> の要素を右にひとつローテート直す
<name3> . rotate ( <val2> )	<name3> の要素を右に <val2> つずつローテートする
<name2> . rotate ( <val3> )	右に <name2> の要素を <val3> つずつ回転する
<name2> . rotate ( <val4> )	<name2> の値を右に <val4> つずつ回転する
<name6> . rotate ( <val4> )	<name6> の要素を右に <val4> つずつ回転する
<name4> . rotate ( <val5> )	右に <name4> の値を <val5> つずつローテート直す
<name1> . rotate ( <val5> )	右に <name1> の要素を <val5> つずつローテートする
<name6> . rotate ( <val4> )	右に <name6> の要素を <val4> つずつローテート直す
<name6> . rotate ( <val4> )	<name6> の要素を右に <val4> つずつローテート直す
<name1> . rotate ( <val4> )	右に <name1> の値を <val4> つずつ回転する
<name5> . rotate ( <val1> )	右に <name5> の値を <val1> つずつローテートする
<name2> . rotate ( <val3> )	<name2> の値を右に <val3> つずつローテート直す
<name2> . rotate ( <val5> )	<name2> の値を右に <val5> つずつローテートする
collections . Counter ( <name1> )	<name1> の辞書カウンタ
collections . Counter ( <name3> )	リスト <name3> の辞書カウンタ
collections . Counter ( <name1> )	<name1> リストの辞書カウンタ
<name2> = collections . Counter ( <name4> )	<name4> の辞書カウンタを <name2> とする
