print ( <val3> )	<val3> とプリントする
<name5> = <name5> . drop_duplicates ( keep = False )	残して <name5> 表中の重複している行を重複している最後の行を消した結果を <name5> に代入する
<name2> = <name2> . drop_duplicates ( keep = False )	残して <name2> 表中の重複している行を重複している最後の行を消した結果を再代入する
<name2> = <name2> . drop_duplicates ( keep = False )	残して <name2> 内の重複している行を重複した最後の行をドロップし、 <name2> にする
<name2> = <name2> . drop_duplicates ( keep = False )	残して <name2> 内の重複している行を重複した最後の行をドロップし、再代入する
<name5> = <name5> . drop_duplicates ( keep = False )	残して <name5> 内の重複している行を重複した最後の行をドロップした結果を <name5> にする
<name1> = <name1> . drop_duplicates ( keep = False )	残して <name1> 内の重複している行を重複した最後の行をドロップした結果を再代入する
<name4> . drop_duplicates ( keep = False , inplace = True )	重複した最後の行を残して <name4> 内の重複している行をドロップして、書き換える
<name1> . drop_duplicates ( keep = False , inplace = True )	重複した最後の行を残して <name1> 内の重複している行をドロップした結果でインプレースする
<name5> . drop_duplicates ( keep = False , inplace = True )	残して <name5> 表中の重複している行を重複している最後の行を消し、書き換える
<name6> . drop_duplicates ( keep = False , inplace = True )	残して <name6> 表中の重複している行を重複している最後の行を消した結果でインプレースする
<name3> . drop_duplicates ( keep = False , inplace = True )	残して表 <name3> 内の重複している行を重複した最後の行をドロップし、置き換える
<name1> . drop_duplicates ( keep = False , inplace = True )	残して表 <name1> 内の重複している行を重複した最後の行をドロップした結果で書き換える
<name4> . drop_duplicates ( subset = <val6> )	<name4> 内の <val6> の重複した行をドロップする
<name4> . drop_duplicates ( subset = <val1> )	<name4> 表中の <val1> カラムの重複している行を削除する
<name3> . drop_duplicates ( subset = <val6> )	<name3> 表内の <val6> カラムの重複した行をドロップする
<name1> = <name2> . drop_duplicates ( subset = <val3> )	<name2> 内の <val3> の重複した行をドロップして、 <name1> に代入する
<name1> = <name2> . drop_duplicates ( subset = <val5> )	<name2> 内の <val5> の重複した行をドロップした結果を <name1> に代入する
<name5> = <name6> . drop_duplicates ( subset = <val2> )	表 <name6> 内のカラム <val2> の重複した行をドロップして、 <name5> にする
<name2> = <name6> . drop_duplicates ( subset = <val4> )	表 <name6> 内のカラム <val4> の重複した行をドロップされた結果を <name2> に代入する
<name3> = <name4> . drop_duplicates ( subset = <val1> )	<name4> 内の <val1> の重複した行を削除し、 <name3> に代入する
<name1> = <name3> . drop_duplicates ( subset = <val5> )	<name3> 内の <val5> の重複した行を削除した結果を <name1> とする
<name4> = <name4> . drop_duplicates ( subset = <val5> )	<name4> 内の <val5> の重複した行をドロップして、 <name4> にする
<name4> = <name4> . drop_duplicates ( subset = <val6> )	<name4> 内の <val6> の重複した行をドロップして、再代入する
<name2> = <name2> . drop_duplicates ( subset = <val5> )	<name2> 内の <val5> の重複した行をドロップした結果を <name2> にする
<name4> = <name4> . drop_duplicates ( subset = <val2> )	<name4> 内の <val2> の重複した行をドロップした結果で置き換える
<name6> = <name6> . drop_duplicates ( subset = <val1> )	表 <name6> の中のカラム <val1> の重複する行を落とし、 <name6> に代入する
<name2> = <name2> . drop_duplicates ( subset = <val1> )	表 <name2> の中のカラム <val1> の重複する行を落とし、置き換える
<name1> = <name1> . drop_duplicates ( subset = <val4> )	表 <name1> の中のカラム <val4> の重複する行を落とした結果を <name1> にする
<name1> = <name1> . drop_duplicates ( subset = <val5> )	表 <name1> の中のカラム <val5> の重複する行を落とした結果で置き換える
<name6> = <name6> . drop_duplicates ( subset = <val4> )	<name6> 表中の <val4> カラムの重複している行を消して、 <name6> とする
<name5> = <name5> . drop_duplicates ( subset = <val4> )	<name5> 表中の <val4> カラムの重複している行を消して、置き換える
<name5> = <name5> . drop_duplicates ( subset = <val1> )	<name5> 表中の <val1> カラムの重複している行を消した結果を <name5> に代入する
<name1> = <name1> . drop_duplicates ( subset = <val6> )	<name1> 表中の <val6> カラムの重複している行を消した結果を再代入する
<name3> . drop_duplicates ( subset = <val1> , inplace = True )	<name3> 内の <val1> の重複した行をドロップして、インプレースする
<name3> . drop_duplicates ( subset = <val1> , inplace = True )	<name3> 内の <val1> の重複した行をドロップした結果で置き換える
<name2> . drop_duplicates ( subset = <val5> , inplace = True )	表 <name2> 中のカラム <val5> の重複している行を消して、置き換える
<name3> . drop_duplicates ( subset = <val1> , inplace = True )	表 <name3> 中のカラム <val1> の重複している行を消した結果でインプレースする
<name5> . drop_duplicates ( subset = <val2> , inplace = True )	表 <name5> 中のカラム <val2> の重複している行を落とし、書き換える
<name6> . drop_duplicates ( subset = <val2> , inplace = True )	表 <name6> 中のカラム <val2> の重複している行を落とした結果でインプレースする
<name6> . drop_duplicates ( subset = <val1> )	<name6> 内の <val1> に重複がある行をドロップする
<name3> . drop_duplicates ( subset = <val2> )	<name3> 表の中の <val2> カラムに重複がある行を取り除く
<name3> . drop_duplicates ( subset = <val1> )	<name3> 表内の <val1> カラムに重複がある行をドロップする
<name3> = <name2> . drop_duplicates ( subset = <val6> )	<name2> 内の <val6> に重複がある行をドロップし、 <name3> とする
<name5> = <name1> . drop_duplicates ( subset = <val6> )	<name1> 内の <val6> に重複がある行をドロップされた結果を <name5> にする
<name2> = <name4> . drop_duplicates ( subset = <val3> )	表 <name4> の中のカラム <val3> に重複がある行を取り除いて、 <name2> とする
<name2> = <name5> . drop_duplicates ( subset = <val3> )	表 <name5> の中のカラム <val3> に重複がある行を取り除いた結果を <name2> に代入する
<name2> = <name5> . drop_duplicates ( subset = <val1> )	重複がある行を <name5> の中の <val1> に取り除いて、 <name2> に代入する
<name3> = <name6> . drop_duplicates ( subset = <val5> )	重複がある行を <name6> の中の <val5> に取り除いた結果を <name3> とする
<name5> = <name5> . drop_duplicates ( subset = <val4> )	<name5> 内の <val4> に重複がある行をドロップして、 <name5> とする
<name4> = <name4> . drop_duplicates ( subset = <val1> )	<name4> 内の <val1> に重複がある行をドロップして、再代入する
<name2> = <name2> . drop_duplicates ( subset = <val5> )	<name2> 内の <val5> に重複がある行をドロップした結果を <name2> とする
<name6> = <name6> . drop_duplicates ( subset = <val1> )	<name6> 内の <val1> に重複がある行をドロップした結果で置き換える
<name3> = <name3> . drop_duplicates ( subset = <val6> )	表 <name3> 内のカラム <val6> に重複がある行を削除して、 <name3> に代入する
<name1> = <name1> . drop_duplicates ( subset = <val4> )	表 <name1> 内のカラム <val4> に重複がある行を削除して、再代入する
<name4> = <name4> . drop_duplicates ( subset = <val5> )	表 <name4> 内のカラム <val5> に重複がある行を削除した結果を <name4> にする
<name4> = <name4> . drop_duplicates ( subset = <val1> )	表 <name4> 内のカラム <val1> に重複がある行を削除した結果を再代入する
<name5> = <name5> . drop_duplicates ( subset = <val3> )	重複がある行を <name5> 内の <val3> にドロップし、 <name5> とする
<name3> = <name3> . drop_duplicates ( subset = <val4> )	重複がある行を <name3> 内の <val4> にドロップし、再代入する
<name3> = <name3> . drop_duplicates ( subset = <val6> )	重複がある行を <name3> 内の <val6> にドロップされた結果を <name3> にする
<name2> = <name2> . drop_duplicates ( subset = <val5> )	重複がある行を <name2> 内の <val5> にドロップされた結果で置き換える
<name5> . drop_duplicates ( subset = <val3> , inplace = True )	<name5> 内の <val3> に重複がある行をドロップして、置き換える
<name3> . drop_duplicates ( subset = <val2> , inplace = True )	<name3> 内の <val2> に重複がある行をドロップした結果で置き換える
<name5> . drop_duplicates ( subset = <val1> , inplace = True )	重複がある行を表 <name5> 内のカラム <val1> にドロップし、書き換える
<name4> . drop_duplicates ( subset = <val1> , inplace = True )	重複がある行を表 <name4> 内のカラム <val1> にドロップした結果で置き換える
<name2> . drop_duplicates ( subset = <val4> , inplace = True )	<name2> の中の <val4> に重複がある行を落として、書き換える
<name3> . drop_duplicates ( subset = <val5> , inplace = True )	<name3> の中の <val5> に重複がある行を落とした結果で書き換える
pd . cut ( <name2> [ <val6> ] , <name3> )	境界値を <name3> として <name2> の <val6> を分割する
pd . cut ( <name5> [ <val3> ] , <name2> )	<name2> リストとして <name5> 表の <val3> コラムを境界値を分割する
pd . cut ( <name5> [ <val2> ] , <name1> )	<name5> 表の <val2> コラムを <name1> リストとして境界値を分割する
<name6> = pd . cut ( <name4> [ <val1> ] , <name2> )	境界値を <name2> として <name4> の <val1> を分割し、 <name6> に代入する
<name5> = pd . cut ( <name6> [ <val1> ] , <name3> )	境界値を <name3> として <name6> の <val1> を分割された結果を <name5> に代入する
<name2> = pd . cut ( <name4> [ <val3> ] , <name5> )	<name5> リストとして境界値を <name4> 表の <val3> コラムを分割して、 <name2> とする
<name2> = pd . cut ( <name1> [ <val3> ] , <name4> )	<name4> リストとして境界値を <name1> 表の <val3> コラムを分割された結果を <name2> とする
<name6> = pd . cut ( <name3> [ <val2> ] , <name5> )	境界値を <name3> 表の <val2> コラムを <name5> リストとして分割して、 <name6> とする
<name3> = pd . cut ( <name6> [ <val1> ] , <name2> )	境界値を <name6> 表の <val1> コラムを <name2> リストとして分割された結果を <name3> に代入する
pd . cut ( <name1> [ <val2> ] , <name3> )	ビン数を <name3> として <name1> の <val2> を分割する
pd . cut ( <name4> [ <val1> ] , <name5> )	<name4> の <val1> を <name5> としてビン数を分割する
pd . cut ( <name2> [ <val4> ] , <name6> )	分割数を <name6> として <name2> 表の <val4> コラムを分割する
<name5> = pd . cut ( <name3> [ <val1> ] , <name6> )	分割数を <name6> として <name3> の <val1> を分割して、 <name5> とする
<name6> = pd . cut ( <name5> [ <val4> ] , <name2> )	分割数を <name2> として <name5> の <val4> を分割した結果を <name6> に代入する
<name2> = pd . cut ( <name5> [ <val3> ] , <name1> )	<name1> として分割数を <name5> 表の <val3> コラムを分割し、 <name2> とする
<name2> = pd . cut ( <name5> [ <val3> ] , <name1> )	<name1> として分割数を <name5> 表の <val3> コラムを分割された結果を <name2> に代入する
<name6> = pd . cut ( <name4> [ <val2> ] , <name5> )	<name5> として <name4> の <val2> を分割数を分割して、 <name6> に代入する
<name1> = pd . cut ( <name6> [ <val4> ] , <name3> )	<name3> として <name6> の <val4> を分割数を分割した結果を <name1> とする
pd . cut ( <name2> [ <val6> ] , <name4> , label = <name5> )	ビン数を <name4> 、ビンの名前を <name5> として <name2> の <val6> を分割する
pd . cut ( <name1> [ <val3> ] , <name5> , label = <name4> )	分割数を <name4> リストとして <name1> 表の <val3> コラムを <name5> 、ビンの名前を分割する
pd . cut ( <name3> [ <val5> ] , <name6> , label = <name1> )	リスト <name1> として <name6> 、ビンのラベルを表 <name3> のコラム <val5> を分割数を分割する
<name1> = pd . cut ( <name2> [ <val6> ] , <name3> , label = <name4> )	ビン数を <name3> 、ビンの名前を <name4> として <name2> の <val6> を分割し、 <name1> とする
<name1> = pd . cut ( <name3> [ <val5> ] , <name6> , label = <name4> )	ビン数を <name6> 、ビンの名前を <name4> として <name3> の <val5> を分割された結果を <name1> に代入する
<name6> = pd . cut ( <name2> [ <val4> ] , <name1> , label = <name3> )	<name1> 、ビンの名前をリスト <name3> としてビン数を表 <name2> のコラム <val4> を分割して、 <name6> とする
<name5> = pd . cut ( <name6> [ <val3> ] , <name1> , label = <name4> )	<name1> 、ビンの名前をリスト <name4> としてビン数を表 <name6> のコラム <val3> を分割した結果を <name5> に代入する
<name2> = pd . cut ( <name6> [ <val1> ] , <name4> , label = <name5> )	ビン数を <name5> として <name4> 、ビンの名前を <name6> の <val1> を分割し、 <name2> に代入する
<name1> = pd . cut ( <name5> [ <val3> ] , <name2> , label = <name4> )	ビン数を <name4> として <name2> 、ビンの名前を <name5> の <val3> を分割した結果を <name1> とする
pd . cut ( <name5> [ <val1> ] , <name2> , label = False )	ビン数を <name2> 、ビンのラベルを 0 始まりの連番として <name5> の <val1> を分割する
pd . cut ( <name2> [ <val1> ] , <name4> , label = False )	分割数を <name4> 、ビンの名前をインデックスとして <name2> 表の <val1> コラムを分割する
pd . cut ( <name2> [ <val1> ] , <name6> , label = False )	0 始まりの連番として <name6> 、ビンの名前を <name2> の <val1> を分割数を分割する
<name5> = pd . cut ( <name6> [ <val2> ] , <name4> , label = False )	ビン数を <name4> 、ビンのラベルを 0 始まりの連番として <name6> の <val2> を分割し、 <name5> に代入する
<name2> = pd . cut ( <name1> [ <val3> ] , <name4> , label = False )	ビン数を <name4> 、ビンのラベルを 0 始まりの連番として <name1> の <val3> を分割した結果を <name2> とする
<name5> = pd . cut ( <name2> [ <val6> ] , <name3> , label = False )	ビン数を <name3> 、ビンのラベルをインデックスとして <name2> 表の <val6> コラムを分割して、 <name5> に代入する
<name6> = pd . cut ( <name4> [ <val5> ] , <name1> , label = False )	ビン数を <name1> 、ビンのラベルをインデックスとして <name4> 表の <val5> コラムを分割した結果を <name6> に代入する
<name3> = pd . cut ( <name6> [ <val4> ] , <name5> , label = False )	<name5> 、ビンのラベルをビン数を整数値として <name6> 表の <val4> コラムを分割して、 <name3> にする
<name6> = pd . cut ( <name1> [ <val4> ] , <name5> , label = False )	<name5> 、ビンのラベルをビン数を整数値として <name1> 表の <val4> コラムを分割された結果を <name6> とする
pd . qcut ( <name3> [ <val5> ] , 2 )	<name3> の <val5> を中央値で分割する
pd . qcut ( <name6> [ <val2> ] , 2 )	<name6> 表の <val2> コラムを中央値で分割する
pd . qcut ( <name6> [ <val4> ] , 2 )	表 <name6> のコラム <val4> を中央値で分割する
<name5> = pd . qcut ( <name3> [ <val2> ] , 2 )	<name3> の <val2> を中央値で分割して、 <name5> に代入する
<name3> = pd . qcut ( <name6> [ <val1> ] , 2 )	<name6> の <val1> を中央値で分割された結果を <name3> にする
<name3> = pd . qcut ( <name6> [ <val2> ] , 2 )	<name6> 表の <val2> コラムを中央値で分割し、 <name3> とする
<name3> = pd . qcut ( <name4> [ <val1> ] , 2 )	<name4> 表の <val1> コラムを中央値で分割した結果を <name3> に代入する
<name6> = pd . qcut ( <name2> [ <val1> ] , 2 )	表 <name2> のコラム <val1> を中央値で分割し、 <name6> とする
<name5> = pd . qcut ( <name2> [ <val6> ] , 2 )	表 <name2> のコラム <val6> を中央値で分割した結果を <name5> にする
pd . qcut ( <name6> [ <val3> ] , 4 )	<name6> の <val3> を四分位数ごとで分割する
pd . qcut ( <name6> [ <val2> ] , 4 )	表 <name6> のコラム <val2> を四分位数ごとで分割する
pd . qcut ( <name1> [ <val6> ] , 4 )	<name1> 表の <val6> コラムを四分位数ごとで分割する
<name6> = pd . qcut ( <name2> [ <val5> ] , 4 )	<name2> の <val5> を四分位数ごとで分割し、 <name6> とする
<name6> = pd . qcut ( <name4> [ <val5> ] , 4 )	<name4> の <val5> を四分位数ごとで分割した結果を <name6> とする
<name3> = pd . qcut ( <name4> [ <val6> ] , 4 )	<name4> 表の <val6> コラムを四分位数ごとで分割して、 <name3> に代入する
<name6> = pd . qcut ( <name5> [ <val2> ] , 4 )	<name5> 表の <val2> コラムを四分位数ごとで分割した結果を <name6> とする
<name4> = pd . qcut ( <name2> [ <val5> ] , 4 )	表 <name2> のコラム <val5> を四分位数ごとで分割し、 <name4> とする
<name3> = pd . qcut ( <name6> [ <val2> ] , 4 )	表 <name6> のコラム <val2> を四分位数ごとで分割した結果を <name3> とする
pd . qcut ( <name1> [ <val5> ] , <name2> )	ビン数を <name2> として <name1> の <val5> をビンに含まれる個数が等しくなるように分割する
pd . qcut ( <name3> [ <val1> ] , <name4> )	ビンに含まれる個数が等しくなるように <name4> として表 <name3> のコラム <val1> を分割数を分割する
pd . qcut ( <name6> [ <val5> ] , <name3> )	ビン数を <name3> として <name6> 表の <val5> コラムを要素数が等しくなるように分割する
<name3> = pd . qcut ( <name6> [ <val2> ] , <name4> )	ビン数を <name4> として <name6> の <val2> をビンに含まれる個数が等しくなるように分割して、 <name3> とする
<name1> = pd . qcut ( <name2> [ <val4> ] , <name6> )	ビン数を <name6> として <name2> の <val4> をビンに含まれる個数が等しくなるように分割した結果を <name1> に代入する
<name4> = pd . qcut ( <name6> [ <val1> ] , <name2> )	ビンに含まれる個数が等しくなるようにビン数を <name6> の <val1> を <name2> として分割し、 <name4> にする
<name2> = pd . qcut ( <name5> [ <val6> ] , <name4> )	ビンに含まれる個数が等しくなるようにビン数を <name5> の <val6> を <name4> として分割した結果を <name2> とする
<name2> = pd . qcut ( <name1> [ <val5> ] , <name6> )	要素数が等しくなるように <name6> として表 <name1> のコラム <val5> をビン数を分割し、 <name2> にする
<name2> = pd . qcut ( <name6> [ <val5> ] , <name3> )	要素数が等しくなるように <name3> として表 <name6> のコラム <val5> をビン数を分割した結果を <name2> とする
<name4> . groupby ( <val6> ) . size ( )	<name4> の <val6> をグループ化したときの値ごとのデータ数
<name2> . groupby ( <val6> ) . size ( )	<name2> の <val6> をグループ化したときの値ごとのデータの件数
<name4> . groupby ( <val6> ) . size ( )	<name4> 表の <val6> カラムをグループ化したときの値ごとのデータ件数
<name4> . groupby ( <val5> ) . size ( )	<name4> の <val5> をグループ化したときの値ごとのデータの数を算出する
<name5> . groupby ( <val2> ) . size ( )	<name5> 表の <val2> カラムをグループ化したときの値ごとのデータ件数を計算する
<name6> . groupby ( <val5> ) . size ( )	表 <name6> のカラム <val5> をグループ化したときの値ごとのデータの数を算出する
<name4> . groupby ( [ <val2> , <val6> ] ) [ <val3> ] . sum ( )	<name4> の <val2> と <val6> ごとの <val3> の値の和
<name5> . groupby ( [ <val2> , <val1> ] ) [ <val3> ] . sum ( )	<name5> 表の <val2> カラムと <val1> 列ごとの <val3> カラムの値の和
<name5> . groupby ( [ <val3> , <val6> ] ) [ <val1> ] . sum ( )	表 <name5> のカラム <val3> と列 <val6> ごとのカラム <val1> の値の合計値
<name4> . groupby ( [ <val2> , <val1> ] ) [ <val6> ] . sum ( )	<name4> の <val2> と <val1> ごとの <val6> の値の合計値を計算する
<name6> . groupby ( [ <val1> , <val5> ] ) [ <val4> ] . sum ( )	表 <name6> のカラム <val1> と列 <val5> ごとのカラム <val4> の値の和を算出する
<name6> . groupby ( [ <val2> , <val1> ] ) [ <val3> ] . sum ( )	<name6> の <val2> と <val1> ごとの <val3> の値の和を求める
<name5> . groupby ( [ <val6> ] ) [ <val3> ] . mean ( )	<name5> の <val6> ごとの <val3> の平均
<name3> . groupby ( [ <val1> ] ) [ <val5> ] . mean ( )	表 <name3> の列 <val1> ごとのカラム <val5> の平均
<name6> . groupby ( [ <val1> ] ) [ <val2> ] . mean ( )	<name6> 表の <val1> 列ごとの <val2> カラムの平均値
<name1> . groupby ( [ <val2> ] ) [ <val6> ] . mean ( )	<name1> の <val2> ごとの <val6> の平均値を計算する
<name6> . groupby ( [ <val5> ] ) [ <val2> ] . mean ( )	<name6> 表の <val5> 列ごとの <val2> カラムの平均を求める
<name2> . groupby ( [ <val3> ] ) [ <val4> ] . mean ( )	表 <name2> の列 <val3> ごとのカラム <val4> の平均を求める
<name2> . groupby ( [ <val5> ] ) [ <val6> ] . count ( )	<name2> の type ( <val5> , カラム ) ごとの <val6> の数
<name3> . groupby ( [ <val5> ] ) [ <val4> ] . count ( )	<name3> の type ( <val5> , コラム ) ごとの <val4> の数
<name3> . groupby ( [ <val6> ] ) [ <val5> ] . count ( )	<name3> 表の type ( <val6> , コラム ) ごとの <val5> コラムの数
<name1> . groupby ( [ <val5> ] ) [ <val3> ] . count ( )	<name1> の type ( <val5> , カラム ) ごとの <val3> の個数を求める
<name6> . groupby ( [ <val1> ] ) [ <val4> ] . count ( )	<name6> 表の type ( <val1> , 列 ) ごとの <val4> コラムの数を求める
<name2> . groupby ( [ <val6> ] ) [ <val1> ] . count ( )	<name2> 表の type ( <val6> , カラム ) ごとの <val1> コラムの個数を求める
<name1> . sort_index ( )	<name1> 全体をインデックスで昇順にソートする
<name3> . sort_index ( )	<name3> をインデックスで小さい順にソート
<name6> . sort_index ( )	表 <name6> 全体をインデックスで昇順にソートする
<name5> = <name2> . sort_index ( )	<name2> をインデックスで昇順にソートして、 <name5> にする
<name6> = <name3> . sort_index ( )	<name3> をインデックスで昇順にソートした結果を <name6> とする
<name2> = <name3> . sort_index ( )	<name3> 全体をインデックスで順番になるようにソートを <name2> に代入する
<name2> = <name1> . sort_index ( )	表 <name1> をインデックスで小さい順にソートを <name2> とする
<name1> = <name1> . sort_index ( )	<name1> をインデックスで昇順にソートし、 <name1> とする
<name2> = <name2> . sort_index ( )	<name2> をインデックスで昇順にソートし、再代入する
<name3> = <name3> . sort_index ( )	<name3> をインデックスで昇順にソートした結果を <name3> とする
<name2> = <name2> . sort_index ( )	<name2> をインデックスで昇順にソートした結果で置き換える
<name6> = <name6> . sort_index ( )	表 <name6> をインデックスで順にソートし、 <name6> とする
<name3> = <name3> . sort_index ( )	表 <name3> をインデックスで順にソートし、置き換える
<name3> = <name3> . sort_index ( )	表 <name3> をインデックスで順にソートした結果を <name3> に代入する
<name5> = <name5> . sort_index ( )	表 <name5> をインデックスで順にソートした結果で置き換える
<name2> = <name2> . sort_index ( )	<name2> をインデックスで並び替えて、 <name2> とする
<name1> = <name1> . sort_index ( )	<name1> をインデックスで並び替えて、再代入する
<name5> = <name5> . sort_index ( )	<name5> をインデックスで並び替えられた結果を <name5> に代入する
<name4> = <name4> . sort_index ( )	<name4> をインデックスで並び替えられた結果で置き換える
<name4> . sort_index ( inplace = True )	<name4> をインデックスで昇順にソートし、書き換える
<name5> . sort_index ( inplace = True )	<name5> をインデックスで昇順にソートした結果で書き換える
<name4> . sort_index ( inplace = True )	<name4> 全体をインデックスで順番になるようにソートでインプレースする
<name5> . sort_index ( inplace = True )	表 <name5> をインデックスで値は小さい順に並び替え、インプレースする
<name3> . sort_index ( inplace = True )	表 <name3> をインデックスで値は小さい順に並び替えられた結果で書き換える
df . sort_index ( )	df 全体をインデックスを軸に昇順でソートする
df . sort_index ( )	インデックスを df 表を軸に昇順でソートする
<name4> . sort_index ( )	インデックスを表 <name4> を元に小さい順でソートする
<name1> = df . sort_index ( )	df 全体をインデックスを軸に昇順でソートして、 <name1> に代入する
<name5> = df . sort_index ( )	df 全体をインデックスを軸に昇順でソートされた結果を <name5> に代入する
<name2> = df . sort_index ( )	df 表全体をインデックスを軸に昇順でソートして、 <name2> に代入する
<name4> = df . sort_index ( )	df 表全体をインデックスを軸に昇順でソートした結果を <name4> にする
<name1> = df . sort_index ( )	df 表をインデックスを軸に小さい順でソートし、 <name1> とする
<name4> = df . sort_index ( )	df 表をインデックスを軸に小さい順でソートした結果を <name4> とする
<name1> = <name1> . sort_index ( )	<name1> 全体をインデックスを軸に昇順でソートして、 <name1> に代入する
df = df . sort_index ( )	df 全体をインデックスを軸に昇順でソートして、置き換える
<name1> = <name1> . sort_index ( )	<name1> 全体をインデックスを軸に昇順でソートした結果を <name1> にする
df = df . sort_index ( )	df 全体をインデックスを軸に昇順でソートした結果で置き換える
<name1> = <name1> . sort_index ( )	<name1> 表をインデックスを元にソートして、 <name1> に代入する
<name1> = <name1> . sort_index ( )	<name1> 表をインデックスを元にソートして、置き換える
<name1> = <name1> . sort_index ( )	<name1> 表をインデックスを元にソートされた結果を <name1> とする
<name5> = <name5> . sort_index ( )	<name5> 表をインデックスを元にソートされた結果で置き換える
<name6> = <name6> . sort_index ( )	<name6> をインデックスを軸に小さい順でソートして、 <name6> とする
df = df . sort_index ( )	df をインデックスを軸に小さい順でソートして、置き換える
<name2> = <name2> . sort_index ( )	<name2> をインデックスを軸に小さい順でソートされた結果を <name2> にする
df = df . sort_index ( )	df をインデックスを軸に小さい順でソートされた結果で置き換える
df . sort_index ( inplace = True )	df 全体をインデックスを軸に昇順でソートして、インプレースする
df . sort_index ( inplace = True )	df 全体をインデックスを軸に昇順でソートされた結果で置き換える
df . sort_index ( inplace = True )	df 表全体をインデックスを軸に昇順でソートし、インプレースする
df . sort_index ( inplace = True )	df 表全体をインデックスを軸に昇順でソートした結果で書き換える
<name2> . sort_index ( inplace = True )	<name2> をインデックスを元にソートし、インプレースする
<name6> . sort_index ( inplace = True )	<name6> をインデックスを元にソートした結果で書き換える
<name3> . sort_index ( )	<name3> をインデックスに基づいて昇順でソートする
<name6> . sort_index ( )	<name6> 表をインデックスに沿って昇順でソートする
<name6> . sort_index ( )	<name6> 表全体をインデックスに基づいて昇順でソートする
<name3> = <name5> . sort_index ( )	<name5> をインデックスに基づいて昇順でソートして、 <name3> にする
<name6> = <name2> . sort_index ( )	<name2> をインデックスに基づいて昇順でソートした結果を <name6> とする
<name2> = <name5> . sort_index ( )	<name5> 表をインデックスに基づいて昇順でソートして、 <name2> に代入する
<name1> = <name5> . sort_index ( )	<name5> 表をインデックスに基づいて昇順でソートされた結果を <name1> に代入する
<name1> = <name2> . sort_index ( )	表 <name2> 全体をインデックスに基づいて昇順でソートし、 <name1> に代入する
<name3> = <name1> . sort_index ( )	表 <name1> 全体をインデックスに基づいて昇順でソートされた結果を <name3> とする
<name2> = <name2> . sort_index ( )	<name2> をインデックスに基づいて昇順でソートし、 <name2> に代入する
<name4> = <name4> . sort_index ( )	<name4> をインデックスに基づいて昇順でソートし、再代入する
<name3> = <name3> . sort_index ( )	<name3> をインデックスに基づいて昇順でソートした結果を <name3> にする
<name4> = <name4> . sort_index ( )	<name4> をインデックスに基づいて昇順でソートした結果で置き換える
<name5> = <name5> . sort_index ( )	<name5> をインデックスに沿って昇順でソートして、 <name5> とする
<name3> = <name3> . sort_index ( )	<name3> をインデックスに沿って昇順でソートして、置き換える
<name1> = <name1> . sort_index ( )	<name1> をインデックスに沿って昇順でソートした結果を <name1> に代入する
<name3> = <name3> . sort_index ( )	<name3> をインデックスに沿って昇順でソートした結果で置き換える
<name1> = <name1> . sort_index ( )	表 <name1> をインデックスに沿って昇順でソートして、 <name1> に代入する
<name4> = <name4> . sort_index ( )	表 <name4> をインデックスに沿って昇順でソートして、再代入する
<name5> = <name5> . sort_index ( )	表 <name5> をインデックスに沿って昇順でソートされた結果を <name5> とする
<name4> = <name4> . sort_index ( )	表 <name4> をインデックスに沿って昇順でソートされた結果を再代入する
<name4> . sort_index ( inplace = True )	<name4> をインデックスに基づいて昇順でソートし、書き換える
<name3> . sort_index ( inplace = True )	<name3> をインデックスに基づいて昇順でソートした結果で書き換える
<name3> . sort_index ( inplace = True )	<name3> 表をインデックスに沿って昇順でソートし、インプレースする
<name1> . sort_index ( inplace = True )	<name1> 表をインデックスに沿って昇順でソートした結果で置き換える
<name2> . sort_index ( inplace = True )	<name2> 表をインデックスに基づいて昇順でソートし、インプレースする
<name1> . sort_index ( inplace = True )	<name1> 表をインデックスに基づいて昇順でソートした結果で置き換える
<name5> . sort_values ( [ <val6> , <val1> ] , ascending = False )	<name5> を <val6> と <val1> で降順にソートする
<name4> . sort_values ( [ <val1> , <val3> ] , ascending = False )	<name4> 表全体を <val1> 列と <val3> コラムで降順にソートする
<name4> . sort_values ( [ <val6> , <val1> ] , ascending = False )	<val6> 列と <val1> コラムで <name4> 表を値は大きい順にソートする
<name4> = <name5> . sort_values ( [ <val6> , <val3> ] , ascending = False )	<name5> を <val6> と <val3> で降順にソートし、 <name4> に代入する
<name6> = <name2> . sort_values ( [ <val5> , <val3> ] , ascending = False )	<name2> を <val5> と <val3> で降順にソートされた結果を <name6> にする
<name3> = <name2> . sort_values ( [ <val5> , <val1> ] , ascending = False )	列 <val5> とコラム <val1> で表 <name2> を値が大きい順にソートして、 <name3> とする
<name3> = <name4> . sort_values ( [ <val2> , <val6> ] , ascending = False )	列 <val2> とコラム <val6> で表 <name4> を値が大きい順にソートされた結果を <name3> とする
<name6> = <name1> . sort_values ( [ <val2> , <val3> ] , ascending = False )	表 <name1> を列 <val2> とコラム <val3> で値が大きい順にソートし、 <name6> に代入する
<name2> = <name1> . sort_values ( [ <val3> , <val5> ] , ascending = False )	表 <name1> を列 <val3> とコラム <val5> で値が大きい順にソートした結果を <name2> とする
<name4> = <name4> . sort_values ( [ <val5> , <val1> ] , ascending = False )	<name4> を <val5> と <val1> で降順にソートして、 <name4> とする
