print ( <val2> )	<val2> とプリントする
<name3> = <name4> . drop_duplicates ( )	<name4> の中の重複する行を取り除いた結果を <name3> とする
<name2> = <name5> . drop_duplicates ( )	<name5> 表の中の重複する行を取り除き、 <name2> にする
<name4> = <name2> . drop_duplicates ( )	<name2> 表の中の重複する行を取り除いた結果を <name4> にする
<name5> = <name5> . drop_duplicates ( )	<name5> 内の重複した行をドロップして、 <name5> とする
<name2> = <name2> . drop_duplicates ( )	<name2> 内の重複した行をドロップして、再代入する
<name2> = <name2> . drop_duplicates ( )	<name2> 内の重複した行をドロップした結果を <name2> にする
<name4> = <name4> . drop_duplicates ( )	<name4> 内の重複した行をドロップした結果を再代入する
<name1> = <name1> . drop_duplicates ( )	<name1> 表の中の重複する行を取り除き、 <name1> にする
<name3> = <name3> . drop_duplicates ( )	<name3> 表の中の重複する行を取り除き、置き換える
<name4> = <name4> . drop_duplicates ( )	<name4> 表の中の重複する行を取り除いた結果を <name4> とする
<name3> = <name3> . drop_duplicates ( )	<name3> 表の中の重複する行を取り除いた結果を再代入する
<name4> = <name4> . drop_duplicates ( )	表 <name4> 内の重複した行を削除し、 <name4> とする
<name6> = <name6> . drop_duplicates ( )	表 <name6> 内の重複した行を削除し、再代入する
<name3> = <name3> . drop_duplicates ( )	表 <name3> 内の重複した行を削除された結果を <name3> にする
<name5> = <name5> . drop_duplicates ( )	表 <name5> 内の重複した行を削除された結果で置き換える
<name4> . drop_duplicates ( inplace = True )	<name4> 内の重複した行をドロップし、書き換える
<name4> . drop_duplicates ( inplace = True )	<name4> 内の重複した行をドロップした結果で書き換える
<name1> . drop_duplicates ( inplace = True )	<name1> 中の重複している行を消して、インプレースする
<name3> . drop_duplicates ( inplace = True )	<name3> 中の重複している行を消した結果で書き換える
<name5> . drop_duplicates ( inplace = True )	<name5> 表の中の重複する行を取り除いて、インプレースする
<name4> . drop_duplicates ( inplace = True )	<name4> 表の中の重複する行を取り除かれた結果で置き換える
<name3> . drop_duplicates ( )	<name3> 内の重複要素がある行をドロップする
<name1> . drop_duplicates ( )	<name1> 表内の重複要素がある行をドロップする
<name6> . drop_duplicates ( )	表 <name6> 内の重複要素がある行を削除する
<name2> = <name1> . drop_duplicates ( )	<name1> 内の重複要素がある行をドロップし、 <name2> にする
<name3> = <name4> . drop_duplicates ( )	<name4> 内の重複要素がある行をドロップされた結果を <name3> とする
<name4> = <name2> . drop_duplicates ( )	表 <name2> 中の重複要素がある行を消して、 <name4> とする
<name1> = <name6> . drop_duplicates ( )	表 <name6> 中の重複要素がある行を消した結果を <name1> に代入する
<name3> = <name6> . drop_duplicates ( )	<name6> 表中の重複要素がある行を削除し、 <name3> に代入する
<name3> = <name2> . drop_duplicates ( )	<name2> 表中の重複要素がある行を削除した結果を <name3> に代入する
<name6> = <name6> . drop_duplicates ( )	<name6> 内の重複要素がある行をドロップし、 <name6> にする
<name2> = <name2> . drop_duplicates ( )	<name2> 内の重複要素がある行をドロップし、再代入する
<name4> = <name4> . drop_duplicates ( )	<name4> 内の重複要素がある行をドロップされた結果を <name4> とする
<name3> = <name3> . drop_duplicates ( )	<name3> 内の重複要素がある行をドロップされた結果で置き換える
<name4> = <name4> . drop_duplicates ( )	表 <name4> 中の重複要素がある行を落とし、 <name4> とする
<name5> = <name5> . drop_duplicates ( )	表 <name5> 中の重複要素がある行を落とし、置き換える
<name2> = <name2> . drop_duplicates ( )	表 <name2> 中の重複要素がある行を落とした結果を <name2> とする
<name5> = <name5> . drop_duplicates ( )	表 <name5> 中の重複要素がある行を落とした結果で置き換える
<name4> = <name4> . drop_duplicates ( )	<name4> の中の重複要素がある行を落とし、 <name4> にする
<name5> = <name5> . drop_duplicates ( )	<name5> の中の重複要素がある行を落とし、置き換える
<name4> = <name4> . drop_duplicates ( )	<name4> の中の重複要素がある行を落とした結果を <name4> に代入する
<name6> = <name6> . drop_duplicates ( )	<name6> の中の重複要素がある行を落とした結果を再代入する
<name1> . drop_duplicates ( inplace = True )	<name1> 内の重複要素がある行をドロップして、置き換える
<name6> . drop_duplicates ( inplace = True )	<name6> 内の重複要素がある行をドロップされた結果で書き換える
<name4> . drop_duplicates ( inplace = True )	表 <name4> 内の重複要素がある行を削除して、置き換える
<name5> . drop_duplicates ( inplace = True )	表 <name5> 内の重複要素がある行を削除した結果で書き換える
<name5> . drop_duplicates ( inplace = True )	表 <name5> 中の重複要素がある行を落として、書き換える
<name5> . drop_duplicates ( inplace = True )	表 <name5> 中の重複要素がある行を落とした結果でインプレースする
<name6> . drop_duplicates ( keep = False )	重複した最後の行を残して <name6> 内の重複している行をドロップする
<name2> . drop_duplicates ( keep = False )	残して <name2> 表の中の重複している行を重複する最後の行を落とす
<name3> . drop_duplicates ( keep = False )	重複した最後の行を残して <name3> 表内の重複している行をドロップする
<name4> = <name3> . drop_duplicates ( keep = False )	重複した最後の行を残して <name3> 内の重複している行をドロップして、 <name4> とする
<name5> = <name1> . drop_duplicates ( keep = False )	重複した最後の行を残して <name1> 内の重複している行をドロップされた結果を <name5> に代入する
<name5> = <name6> . drop_duplicates ( keep = False )	重複する最後の行を残して表 <name6> の中の重複している行を落として、 <name5> にする
<name2> = <name4> . drop_duplicates ( keep = False )	重複する最後の行を残して表 <name4> の中の重複している行を落とした結果を <name2> にする
<name2> = <name6> . drop_duplicates ( keep = False )	残して <name6> 中の重複している行を重複している最後の行を落とし、 <name2> にする
<name5> = <name3> . drop_duplicates ( keep = False )	残して <name3> 中の重複している行を重複している最後の行を落とした結果を <name5> とする
<name1> = <name1> . drop_duplicates ( keep = False )	重複した最後の行を残して <name1> 内の重複している行をドロップし、 <name1> にする
<name4> = <name4> . drop_duplicates ( keep = False )	重複した最後の行を残して <name4> 内の重複している行をドロップし、再代入する
<name4> = <name4> . drop_duplicates ( keep = False )	重複した最後の行を残して <name4> 内の重複している行をドロップした結果を <name4> にする
<name2> = <name2> . drop_duplicates ( keep = False )	重複した最後の行を残して <name2> 内の重複している行をドロップした結果で置き換える
<name4> = <name4> . drop_duplicates ( keep = False )	重複した最後の行を残して <name4> 表内の重複している行をドロップして、 <name4> に代入する
<name2> = <name2> . drop_duplicates ( keep = False )	重複した最後の行を残して <name2> 表内の重複している行をドロップして、置き換える
<name4> = <name4> . drop_duplicates ( keep = False )	重複した最後の行を残して <name4> 表内の重複している行をドロップした結果を <name4> に代入する
<name5> = <name5> . drop_duplicates ( keep = False )	重複した最後の行を残して <name5> 表内の重複している行をドロップした結果を再代入する
<name4> = <name4> . drop_duplicates ( keep = False )	残して表 <name4> 中の重複している行を重複している最後の行を消して、 <name4> にする
<name1> = <name1> . drop_duplicates ( keep = False )	残して表 <name1> 中の重複している行を重複している最後の行を消して、再代入する
<name3> = <name3> . drop_duplicates ( keep = False )	残して表 <name3> 中の重複している行を重複している最後の行を消した結果を <name3> にする
<name4> = <name4> . drop_duplicates ( keep = False )	残して表 <name4> 中の重複している行を重複している最後の行を消した結果で置き換える
<name4> . drop_duplicates ( keep = False , inplace = True )	重複した最後の行を残して <name4> 内の重複している行をドロップし、インプレースする
<name1> . drop_duplicates ( keep = False , inplace = True )	重複した最後の行を残して <name1> 内の重複している行をドロップされた結果で書き換える
<name4> . drop_duplicates ( keep = False , inplace = True )	残して表 <name4> 中の重複している行を重複している最後の行を消して、インプレースする
<name1> . drop_duplicates ( keep = False , inplace = True )	残して表 <name1> 中の重複している行を重複している最後の行を消した結果で書き換える
<name1> . drop_duplicates ( keep = False , inplace = True )	残して表 <name1> 内の重複している行を重複した最後の行をドロップして、インプレースする
<name2> . drop_duplicates ( keep = False , inplace = True )	残して表 <name2> 内の重複している行を重複した最後の行をドロップした結果で置き換える
<name6> . drop_duplicates ( subset = <val4> )	<name6> 内の <val4> の重複した行をドロップする
<name6> . drop_duplicates ( subset = <val1> )	表 <name6> 中のコラム <val1> の重複している行を削除する
<name5> . drop_duplicates ( subset = <val3> )	表 <name5> 中のコラム <val3> の重複している行を消す
<name5> = <name3> . drop_duplicates ( subset = <val1> )	<name3> 内の <val1> の重複した行をドロップして、 <name5> とする
<name1> = <name5> . drop_duplicates ( subset = <val2> )	<name5> 内の <val2> の重複した行をドロップされた結果を <name1> にする
<name2> = <name4> . drop_duplicates ( subset = <val6> )	<name4> 表中の <val6> コラムの重複している行を消し、 <name2> とする
<name6> = <name3> . drop_duplicates ( subset = <val4> )	<name3> 表中の <val4> コラムの重複している行を消された結果を <name6> に代入する
<name6> = <name3> . drop_duplicates ( subset = <val5> )	<name3> 表の中の <val5> コラムの重複する行を落とし、 <name6> にする
<name4> = <name3> . drop_duplicates ( subset = <val6> )	<name3> 表の中の <val6> コラムの重複する行を落とされた結果を <name4> に代入する
<name6> = <name6> . drop_duplicates ( subset = <val4> )	<name6> 内の <val4> の重複した行をドロップし、 <name6> にする
<name3> = <name3> . drop_duplicates ( subset = <val4> )	<name3> 内の <val4> の重複した行をドロップし、再代入する
<name3> = <name3> . drop_duplicates ( subset = <val6> )	<name3> 内の <val6> の重複した行をドロップされた結果を <name3> とする
<name4> = <name4> . drop_duplicates ( subset = <val3> )	<name4> 内の <val3> の重複した行をドロップされた結果を再代入する
<name6> = <name6> . drop_duplicates ( subset = <val4> )	<name6> 表内の <val4> コラムの重複した行をドロップし、 <name6> とする
<name1> = <name1> . drop_duplicates ( subset = <val4> )	<name1> 表内の <val4> コラムの重複した行をドロップし、再代入する
<name1> = <name1> . drop_duplicates ( subset = <val6> )	<name1> 表内の <val6> コラムの重複した行をドロップした結果を <name1> に代入する
<name2> = <name2> . drop_duplicates ( subset = <val1> )	<name2> 表内の <val1> コラムの重複した行をドロップした結果を再代入する
<name3> = <name3> . drop_duplicates ( subset = <val5> )	表 <name3> の中のコラム <val5> の重複する行を取り除き、 <name3> とする
<name4> = <name4> . drop_duplicates ( subset = <val5> )	表 <name4> の中のコラム <val5> の重複する行を取り除き、再代入する
<name4> = <name4> . drop_duplicates ( subset = <val6> )	表 <name4> の中のコラム <val6> の重複する行を取り除いた結果を <name4> に代入する
<name6> = <name6> . drop_duplicates ( subset = <val5> )	表 <name6> の中のコラム <val5> の重複する行を取り除いた結果を再代入する
<name2> . drop_duplicates ( subset = <val5> , inplace = True )	<name2> 内の <val5> の重複した行をドロップし、書き換える
<name3> . drop_duplicates ( subset = <val5> , inplace = True )	<name3> 内の <val5> の重複した行をドロップした結果で置き換える
<name5> . drop_duplicates ( subset = <val2> , inplace = True )	<name5> の中の <val2> の重複する行を落として、インプレースする
<name2> . drop_duplicates ( subset = <val3> , inplace = True )	<name2> の中の <val3> の重複する行を落とした結果で置き換える
<name5> . drop_duplicates ( subset = <val1> , inplace = True )	表 <name5> の中のコラム <val1> の重複する行を落として、置き換える
<name3> . drop_duplicates ( subset = <val4> , inplace = True )	表 <name3> の中のコラム <val4> の重複する行を落とされた結果で置き換える
<name5> . drop_duplicates ( subset = <val6> )	<name5> 内の <val6> に重複がある行をドロップする
<name6> . drop_duplicates ( subset = <val3> )	重複がある行を <name6> 内の <val3> に削除する
<name6> . drop_duplicates ( subset = <val5> )	<name6> 表内の <val5> コラムに重複がある行をドロップする
<name2> = <name6> . drop_duplicates ( subset = <val5> )	<name6> 内の <val5> に重複がある行をドロップし、 <name2> に代入する
<name1> = <name4> . drop_duplicates ( subset = <val6> )	<name4> 内の <val6> に重複がある行をドロップした結果を <name1> とする
<name6> = <name4> . drop_duplicates ( subset = <val2> )	重複がある行を <name4> 中の <val2> に削除し、 <name6> にする
<name5> = <name6> . drop_duplicates ( subset = <val1> )	重複がある行を <name6> 中の <val1> に削除した結果を <name5> にする
<name1> = <name2> . drop_duplicates ( subset = <val4> )	表 <name2> の中のコラム <val4> に重複がある行を落として、 <name1> にする
<name2> = <name6> . drop_duplicates ( subset = <val1> )	表 <name6> の中のコラム <val1> に重複がある行を落とされた結果を <name2> に代入する
<name4> = <name4> . drop_duplicates ( subset = <val2> )	<name4> 内の <val2> に重複がある行をドロップして、 <name4> とする
<name3> = <name3> . drop_duplicates ( subset = <val2> )	<name3> 内の <val2> に重複がある行をドロップして、置き換える
<name6> = <name6> . drop_duplicates ( subset = <val4> )	<name6> 内の <val4> に重複がある行をドロップした結果を <name6> に代入する
<name4> = <name4> . drop_duplicates ( subset = <val3> )	<name4> 内の <val3> に重複がある行をドロップした結果で置き換える
<name4> = <name4> . drop_duplicates ( subset = <val6> )	重複がある行を <name4> 内の <val6> にドロップし、 <name4> に代入する
<name5> = <name5> . drop_duplicates ( subset = <val3> )	重複がある行を <name5> 内の <val3> にドロップし、再代入する
<name1> = <name1> . drop_duplicates ( subset = <val6> )	重複がある行を <name1> 内の <val6> にドロップした結果を <name1> にする
<name5> = <name5> . drop_duplicates ( subset = <val2> )	重複がある行を <name5> 内の <val2> にドロップした結果を再代入する
<name5> = <name5> . drop_duplicates ( subset = <val1> )	重複がある行を表 <name5> 中のコラム <val1> に消し、 <name5> とする
<name6> = <name6> . drop_duplicates ( subset = <val3> )	重複がある行を表 <name6> 中のコラム <val3> に消し、置き換える
<name3> = <name3> . drop_duplicates ( subset = <val4> )	重複がある行を表 <name3> 中のコラム <val4> に消した結果を <name3> にする
<name6> = <name6> . drop_duplicates ( subset = <val5> )	重複がある行を表 <name6> 中のコラム <val5> に消した結果で置き換える
<name3> . drop_duplicates ( subset = <val4> , inplace = True )	<name3> 内の <val4> に重複がある行をドロップして、置き換える
<name5> . drop_duplicates ( subset = <val4> , inplace = True )	<name5> 内の <val4> に重複がある行をドロップされた結果で書き換える
<name3> . drop_duplicates ( subset = <val4> , inplace = True )	重複がある行を表 <name3> の中のコラム <val4> に落とし、インプレースする
<name2> . drop_duplicates ( subset = <val5> , inplace = True )	重複がある行を表 <name2> の中のコラム <val5> に落とした結果で置き換える
<name5> . drop_duplicates ( subset = <val2> , inplace = True )	表 <name5> 中のコラム <val2> に重複がある行を削除して、置き換える
<name1> . drop_duplicates ( subset = <val6> , inplace = True )	表 <name1> 中のコラム <val6> に重複がある行を削除した結果で書き換える
pd . cut ( <name1> [ <val3> ] , <name5> )	境界値を <name5> として <name1> の <val3> を分割する
pd . cut ( <name5> [ <val6> ] , <name1> )	<name1> として境界値を <name5> の <val6> を分割する
pd . cut ( <name5> [ <val6> ] , <name2> )	境界値を表 <name5> の列 <val6> をリスト <name2> として分割する
<name6> = pd . cut ( <name4> [ <val2> ] , <name3> )	境界値を <name3> として <name4> の <val2> を分割し、 <name6> とする
<name2> = pd . cut ( <name3> [ <val4> ] , <name6> )	境界値を <name6> として <name3> の <val4> を分割した結果を <name2> とする
<name3> = pd . cut ( <name5> [ <val2> ] , <name4> )	境界値を <name4> リストとして <name5> 表の <val2> 列を分割して、 <name3> に代入する
<name3> = pd . cut ( <name1> [ <val4> ] , <name6> )	境界値を <name6> リストとして <name1> 表の <val4> 列を分割された結果を <name3> とする
<name2> = pd . cut ( <name1> [ <val4> ] , <name6> )	境界値を <name1> の <val4> を <name6> として分割し、 <name2> に代入する
<name2> = pd . cut ( <name6> [ <val3> ] , <name4> )	境界値を <name6> の <val3> を <name4> として分割した結果を <name2> とする
pd . cut ( <name5> [ <val4> ] , <name3> )	ビン数を <name3> として <name5> の <val4> を分割する
pd . cut ( <name2> [ <val4> ] , <name1> )	<name1> として分割数を <name2> の <val4> を分割する
pd . cut ( <name4> [ <val1> ] , <name6> )	<name6> として分割数を <name4> 表の <val1> 列を分割する
<name3> = pd . cut ( <name4> [ <val5> ] , <name1> )	分割数を <name1> として <name4> の <val5> を分割し、 <name3> に代入する
<name2> = pd . cut ( <name6> [ <val5> ] , <name1> )	分割数を <name1> として <name6> の <val5> を分割した結果を <name2> とする
<name5> = pd . cut ( <name2> [ <val3> ] , <name4> )	分割数を <name2> 表の <val3> 列を <name4> として分割し、 <name5> に代入する
<name5> = pd . cut ( <name2> [ <val1> ] , <name4> )	分割数を <name2> 表の <val1> 列を <name4> として分割された結果を <name5> とする
<name4> = pd . cut ( <name6> [ <val3> ] , <name2> )	<name2> としてビン数を <name6> の <val3> を分割して、 <name4> にする
<name5> = pd . cut ( <name6> [ <val1> ] , <name2> )	<name2> としてビン数を <name6> の <val1> を分割した結果を <name5> に代入する
pd . cut ( <name1> [ <val5> ] , <name2> , label = <name3> )	ビン数を <name2> 、ビンのラベルを <name3> として <name1> の <val5> を分割する
pd . cut ( <name6> [ <val1> ] , <name3> , label = <name2> )	<name3> 、ビンの名前を分割数を <name6> の <val1> を <name2> として分割する
pd . cut ( <name2> [ <val6> ] , <name4> , label = <name5> )	<name2> の <val6> を <name4> 、ビンの名前を <name5> としてビン数を分割する
<name6> = pd . cut ( <name2> [ <val1> ] , <name5> , label = <name4> )	ビン数を <name5> 、ビンのラベルを <name4> として <name2> の <val1> を分割して、 <name6> にする
<name5> = pd . cut ( <name6> [ <val1> ] , <name2> , label = <name4> )	ビン数を <name2> 、ビンのラベルを <name4> として <name6> の <val1> を分割した結果を <name5> とする
<name4> = pd . cut ( <name2> [ <val6> ] , <name5> , label = <name1> )	分割数を <name5> 、ビンのラベルを <name1> リストとして <name2> 表の <val6> 列を分割して、 <name4> とする
<name1> = pd . cut ( <name4> [ <val3> ] , <name6> , label = <name2> )	分割数を <name6> 、ビンのラベルを <name2> リストとして <name4> 表の <val3> 列を分割した結果を <name1> とする
<name4> = pd . cut ( <name2> [ <val1> ] , <name6> , label = <name5> )	ビン数を <name5> として <name6> 、ビンの名前を <name2> の <val1> を分割し、 <name4> とする
<name2> = pd . cut ( <name1> [ <val5> ] , <name6> , label = <name3> )	ビン数を <name3> として <name6> 、ビンの名前を <name1> の <val5> を分割された結果を <name2> とする
pd . cut ( <name3> [ <val1> ] , <name4> , label = False )	ビン数を <name4> 、ビンのラベルを 0 始まりの連番として <name3> の <val1> を分割する
pd . cut ( <name3> [ <val2> ] , <name6> , label = False )	表 <name3> の列 <val2> をビン数を 0 始まりの連番として <name6> 、ビンのラベルを分割する
pd . cut ( <name6> [ <val4> ] , <name1> , label = False )	表 <name6> の列 <val4> を整数値として <name1> 、ビンのラベルをビン数を分割する
<name6> = pd . cut ( <name3> [ <val4> ] , <name5> , label = False )	ビン数を <name5> 、ビンのラベルを 0 始まりの連番として <name3> の <val4> を分割して、 <name6> とする
<name6> = pd . cut ( <name5> [ <val3> ] , <name1> , label = False )	ビン数を <name1> 、ビンのラベルを 0 始まりの連番として <name5> の <val3> を分割した結果を <name6> とする
<name2> = pd . cut ( <name3> [ <val6> ] , <name4> , label = False )	表 <name3> の列 <val6> を <name4> 、ビンの名前を分割数を整数値として分割して、 <name2> とする
<name1> = pd . cut ( <name6> [ <val5> ] , <name3> , label = False )	表 <name6> の列 <val5> を <name3> 、ビンの名前を分割数を整数値として分割した結果を <name1> に代入する
<name4> = pd . cut ( <name2> [ <val6> ] , <name3> , label = False )	表 <name2> の列 <val6> をビン数を <name3> 、ビンのラベルをインデックスとして分割して、 <name4> に代入する
<name5> = pd . cut ( <name2> [ <val6> ] , <name3> , label = False )	表 <name2> の列 <val6> をビン数を <name3> 、ビンのラベルをインデックスとして分割した結果を <name5> にする
pd . qcut ( <name1> [ <val4> ] , 2 )	<name1> の <val4> を中央値で分割する
pd . qcut ( <name2> [ <val4> ] , 2 )	表 <name2> の列 <val4> を中央値で分割する
pd . qcut ( <name2> [ <val4> ] , 2 )	<name2> 表の <val4> 列を中央値で分割する
<name3> = pd . qcut ( <name5> [ <val2> ] , 2 )	<name5> の <val2> を中央値で分割して、 <name3> に代入する
<name2> = pd . qcut ( <name6> [ <val1> ] , 2 )	<name6> の <val1> を中央値で分割した結果を <name2> に代入する
<name6> = pd . qcut ( <name3> [ <val2> ] , 2 )	表 <name3> の列 <val2> を中央値で分割し、 <name6> に代入する
<name3> = pd . qcut ( <name5> [ <val2> ] , 2 )	表 <name5> の列 <val2> を中央値で分割された結果を <name3> にする
<name5> = pd . qcut ( <name1> [ <val4> ] , 2 )	<name1> 表の <val4> 列を中央値で分割し、 <name5> に代入する
<name3> = pd . qcut ( <name6> [ <val5> ] , 2 )	<name6> 表の <val5> 列を中央値で分割された結果を <name3> に代入する
pd . qcut ( <name2> [ <val4> ] , 4 )	<name2> の <val4> を四分位数ごとで分割する
pd . qcut ( <name1> [ <val5> ] , 4 )	表 <name1> の列 <val5> を四分位数ごとで分割する
pd . qcut ( <name3> [ <val6> ] , 4 )	<name3> 表の <val6> 列を四分位数ごとで分割する
<name3> = pd . qcut ( <name5> [ <val4> ] , 4 )	<name5> の <val4> を四分位数ごとで分割し、 <name3> に代入する
<name6> = pd . qcut ( <name3> [ <val2> ] , 4 )	<name3> の <val2> を四分位数ごとで分割した結果を <name6> に代入する
<name1> = pd . qcut ( <name3> [ <val5> ] , 4 )	表 <name3> の列 <val5> を四分位数ごとで分割し、 <name1> とする
<name6> = pd . qcut ( <name5> [ <val3> ] , 4 )	表 <name5> の列 <val3> を四分位数ごとで分割した結果を <name6> に代入する
<name4> = pd . qcut ( <name6> [ <val2> ] , 4 )	<name6> 表の <val2> 列を四分位数ごとで分割し、 <name4> にする
<name4> = pd . qcut ( <name2> [ <val3> ] , 4 )	<name2> 表の <val3> 列を四分位数ごとで分割された結果を <name4> にする
pd . qcut ( <name1> [ <val6> ] , <name5> )	ビン数を <name5> として <name1> の <val6> をビンに含まれる個数が等しくなるように分割する
pd . qcut ( <name5> [ <val1> ] , <name6> )	<name6> として分割数を要素数が等しくなるように <name5> 表の <val1> 列を分割する
pd . qcut ( <name1> [ <val2> ] , <name6> )	分割数を <name1> の <val2> を要素数が等しくなるように <name6> として分割する
<name3> = pd . qcut ( <name5> [ <val4> ] , <name2> )	ビン数を <name2> として <name5> の <val4> をビンに含まれる個数が等しくなるように分割して、 <name3> とする
<name1> = pd . qcut ( <name5> [ <val4> ] , <name2> )	ビン数を <name2> として <name5> の <val4> をビンに含まれる個数が等しくなるように分割した結果を <name1> に代入する
<name4> = pd . qcut ( <name1> [ <val3> ] , <name5> )	ビン数をビンに含まれる個数が等しくなるように <name5> として表 <name1> の列 <val3> を分割し、 <name4> とする
<name3> = pd . qcut ( <name1> [ <val6> ] , <name2> )	ビン数をビンに含まれる個数が等しくなるように <name2> として表 <name1> の列 <val6> を分割した結果を <name3> にする
<name4> = pd . qcut ( <name3> [ <val2> ] , <name1> )	ビンに含まれる個数が等しくなるように <name3> 表の <val2> 列をビン数を <name1> として分割し、 <name4> とする
<name2> = pd . qcut ( <name4> [ <val1> ] , <name5> )	ビンに含まれる個数が等しくなるように <name4> 表の <val1> 列をビン数を <name5> として分割した結果を <name2> にする
<name6> . groupby ( <val3> ) . size ( )	<name6> の <val3> をグループ化したときの値ごとのデータ数
<name6> . groupby ( <val4> ) . size ( )	<name6> の <val4> をグループ化したときの値ごとのデータの件数
<name6> . groupby ( <val3> ) . size ( )	<name6> 表の <val3> カラムをグループ化したときの値ごとのデータ数
<name4> . groupby ( <val1> ) . size ( )	<name4> の <val1> をグループ化したときの値ごとのデータ数を計算する
<name3> . groupby ( <val1> ) . size ( )	表 <name3> のカラム <val1> をグループ化したときの値ごとのデータの件数を計算する
<name3> . groupby ( <val2> ) . size ( )	<name3> の <val2> をグループ化したときの値ごとのデータの件数を算出する
<name3> . groupby ( [ <val1> , <val2> ] ) [ <val6> ] . sum ( )	<name3> の <val1> と <val2> ごとの <val6> の値の合計
<name4> . groupby ( [ <val2> , <val6> ] ) [ <val1> ] . sum ( )	表 <name4> のコラム <val2> とカラム <val6> ごとのコラム <val1> の値の合計
<name1> . groupby ( [ <val6> , <val2> ] ) [ <val3> ] . sum ( )	表 <name1> のコラム <val6> とカラム <val2> ごとのコラム <val3> の値の合計値
<name6> . groupby ( [ <val2> , <val3> ] ) [ <val1> ] . sum ( )	<name6> の <val2> と <val3> ごとの <val1> の値の合計を算出する
<name3> . groupby ( [ <val1> , <val4> ] ) [ <val5> ] . sum ( )	表 <name3> のコラム <val1> とカラム <val4> ごとのコラム <val5> の値の数を求める
<name4> . groupby ( [ <val1> , <val3> ] ) [ <val5> ] . sum ( )	<name4> の <val1> と <val3> ごとの <val5> の値の和を求める
<name3> . groupby ( [ <val1> ] ) [ <val6> ] . mean ( )	<name3> の <val1> ごとの <val6> の平均値
<name5> . groupby ( [ <val4> ] ) [ <val2> ] . mean ( )	<name5> 表の <val4> コラムごとの <val2> コラムの平均
<name5> . groupby ( [ <val1> ] ) [ <val4> ] . mean ( )	<name5> 表の <val1> コラムごとの <val4> コラムの平均値
<name2> . groupby ( [ <val3> ] ) [ <val4> ] . mean ( )	<name2> の <val3> ごとの <val4> の平均値を求める
<name4> . groupby ( [ <val1> ] ) [ <val5> ] . mean ( )	表 <name4> のコラム <val1> ごとのコラム <val5> の平均を算出する
<name3> . groupby ( [ <val4> ] ) [ <val6> ] . mean ( )	<name3> の <val4> ごとの <val6> の平均を計算する
<name3> . groupby ( [ <val2> ] ) [ <val4> ] . count ( )	<name3> の type ( <val2> , カラム ) ごとの <val4> の数
<name3> . groupby ( [ <val1> ] ) [ <val2> ] . count ( )	<name3> 表の type ( <val1> , コラム ) ごとの <val2> 列の数
<name3> . groupby ( [ <val6> ] ) [ <val1> ] . count ( )	表 <name3> の type ( <val6> , 列 ) ごとの列 <val1> の数
<name6> . groupby ( [ <val1> ] ) [ <val5> ] . count ( )	<name6> の type ( <val1> , カラム ) ごとの <val5> の数を計算する
<name4> . groupby ( [ <val6> ] ) [ <val1> ] . count ( )	表 <name4> の type ( <val6> , コラム ) ごとの列 <val1> の数を求める
<name4> . groupby ( [ <val1> ] ) [ <val2> ] . count ( )	表 <name4> の type ( <val1> , コラム ) ごとの列 <val2> の個数を算出する
<name4> . sort_index ( )	<name4> 全体をインデックスで昇順にソートする
<name5> . sort_index ( )	<name5> をインデックスで並び替える
<name6> . sort_index ( )	<name6> 表をインデックスで昇順にソートする
<name5> = <name1> . sort_index ( )	<name1> をインデックスで昇順にソートして、 <name5> にする
<name4> = <name5> . sort_index ( )	<name5> をインデックスで昇順にソートした結果を <name4> とする
<name1> = <name2> . sort_index ( )	表 <name2> 全体をインデックスで昇順にソートし、 <name1> にする
<name2> = <name4> . sort_index ( )	表 <name4> 全体をインデックスで昇順にソートした結果を <name2> に代入する
<name3> = <name2> . sort_index ( )	<name2> 表をインデックスで値は小さい順に並び替えて、 <name3> に代入する
<name3> = <name5> . sort_index ( )	<name5> 表をインデックスで値は小さい順に並び替えられた結果を <name3> とする
<name1> = <name1> . sort_index ( )	<name1> 全体をインデックスで昇順にソートし、 <name1> に代入する
<name6> = <name6> . sort_index ( )	<name6> 全体をインデックスで昇順にソートし、再代入する
<name5> = <name5> . sort_index ( )	<name5> 全体をインデックスで昇順にソートした結果を <name5> にする
<name4> = <name4> . sort_index ( )	<name4> 全体をインデックスで昇順にソートした結果を再代入する
<name1> = <name1> . sort_index ( )	<name1> 表をインデックスで順にソートして、 <name1> に代入する
<name4> = <name4> . sort_index ( )	<name4> 表をインデックスで順にソートして、再代入する
<name6> = <name6> . sort_index ( )	<name6> 表をインデックスで順にソートされた結果を <name6> とする
<name6> = <name6> . sort_index ( )	<name6> 表をインデックスで順にソートされた結果を再代入する
<name2> = <name2> . sort_index ( )	<name2> 表全体をインデックスで順にソートして、 <name2> に代入する
<name3> = <name3> . sort_index ( )	<name3> 表全体をインデックスで順にソートして、再代入する
<name4> = <name4> . sort_index ( )	<name4> 表全体をインデックスで順にソートした結果を <name4> とする
<name3> = <name3> . sort_index ( )	<name3> 表全体をインデックスで順にソートした結果を再代入する
<name6> . sort_index ( inplace = True )	<name6> 全体をインデックスで昇順にソートし、置き換える
<name1> . sort_index ( inplace = True )	<name1> 全体をインデックスで昇順にソートした結果でインプレースする
<name1> . sort_index ( inplace = True )	<name1> 表をインデックスで順番になるようにソートで書き換える
